name,lat,lon
Acharya Nagarjuna University,16.3766763,80.52752607
Adamas University,22.7381495,88.45658799
Adesh University,30.2204968,75.05902194
Adikavi Nannaya University,17.0657139,81.8733457
Agriculture University,8.9811292,76.8108772
Ahmedabad University,23.03920565,72.55585035
Akal University,31.81433835,75.38564209
Alagappa University,10.0781833,78.79902717
Aliah University,22.59043525,88.48572361
Aligarh Muslim University,27.9151981,78.07874075
Alliance University,12.72975865,77.70876034
AMITY University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
AMITY University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amity University,13.27688715,77.61903823
Amrita Vishwa Vidyapeetham,16.45606295,80.53816324
Anand Agricultural University,22.5357762,72.9748028
Anant National University,23.0308404,72.4271753
Andhra Kesari University,15.485154,80.04367542
Andhra University,17.730362,83.32276091
Anna University,13.0083174,80.2334438
Annamalai University,11.390716,79.71149277
Anurag University,17.41941005,78.65676873
Apex university,28.96838415,77.7364354
Arunachal Pradesh University,27.1485356,93.71717141
Ashoka University,28.94690065,77.1014386
Assam Agricultural University,26.71940915,94.19994442
Assam Don Bosco University,26.1297247,91.6193752
Assam Down Town University,26.2015512,91.86119926
Assam Science & Technology University,26.1413108,91.666461
Assam University,24.6844556,92.75095617
Assam Women's University,26.7186891,94.1853178
Atria University,13.03283755,77.5917436
Avantika University,23.0855586,75.713371
Ayush and Health Sciences University of Chhattisgarh,21.1044748,81.75308364
Azim Premji University,12.844003,77.77568396
Azim Premji University,12.844003,77.77568396
Baba Farid University of Health Sciences,30.6836576,74.7348714
Baba Ghulam Shah Badshah University,33.39463555,74.34584264
Babasaheb Bhimrao Ambedkar Bihar University,26.1099745,85.3770347
Babasaheb Bhimrao Ambedkar University,26.76943095,80.92559022
Babu Banarasi Das University,26.888806,81.0589205
Baddi University of Emerging Sciences & Technology,30.9520107,76.78233035
Bahra University,30.78115575,76.61765661
Banaras Hindu University,25.2663747,82.9904648
Banda University of Agriculture & Technology,25.5297341,80.33488505
Bangalore University,12.94393425,77.50918054
Bengaluru City University,12.97483375,77.58065473
Bengaluru Dr. B. R. Ambedkar School of Economics University,12.94945565,77.51710056
Bengaluru North University,12.95056825,77.50028146
Bennett University,28.45061085,77.58391182
Berhampur University,19.2992205,84.88158613
Bhabha University,19.0337334,72.92559826
Bhagat Phool Singh Mahila Vishwavidyalaya,29.1537763,76.80487581
Bharath Institute of Higher Education & Research,12.90806315,80.14014109
Bharathidasan University,10.67566,78.74201488
Bharati Vidyapeeth,18.51361895,73.81993734
Bhupendra Narayan Mandal University,25.9366042,86.79437266
Bihar Agricultural University,25.2383952,87.05065963
Biju Patnaik University of Technology,22.2459907,84.81726583
Birla Institute of Technology,23.41756945,85.43940937
Birla Institute of Technology & Science,28.35866475,75.58825578
Birsa Agricultural University,23.4315118,85.30772485
Biswa Bangla Biswabidyalay,23.6394895,87.6786949
Bodoland University,26.4698215,90.296965
Brainware University,22.73175235,88.49904425
Bundelkhand University,25.4530538,78.609738
Burdwan University,23.249952,87.84544069
C. U. Shah University,22.74913,71.70276549
Calcutta University,22.48473255,88.34475274
Calicut University,11.13637895,75.89055308
Capital University,8.5237709,76.9452618
Central Agricultural University,24.8130066,93.89038729
Central Institute of Fisheries Education,19.1394164,72.81640136
Central Sanskrit University,30.1415366,78.59922176
Central University of Gujarat,23.2451809,72.6619837
Central University of Jharkhand,23.44217775,85.14552768
Central University of Karnataka,17.4316166,76.67178613
Central University of Kerala,12.39316345,75.09234787
Central University of Punjab,30.1401932,74.7909105
Central University of Rajasthan,26.6276045,75.02880205
Central University of Tamil Nadu,10.8125257,79.61116665
Centurion University of Technology and Management,20.17524335,85.70674393
Chaitanya,19.1717529,72.88187731
Chanakya National Law University,25.59465255,85.13354205
