University,Latitude,Longitude,Address
Acharya Nagarjuna University,16.3766763,80.52752607,"Acharya Nagarjuna University, MDR, Pedakakani, Guntur, Andhra Pradesh, India"
Adamas University,22.7381495,88.45658799,"Adamas University, Barasat- Barrackpore Road, Champadali, Kolkata, Barasat - I, North 24 Parganas, West Bengal, 700126, India"
Adesh University,30.2204968,75.05902194,"Adesh University, Bathinda - Barnala Road, Bhucho Khurd, Bathinda Tahsil, Bathinda, Punjab, 151101, India"
Adikavi Nannaya University,17.0657139,81.8733457,"Adikavi Nannaya University, NH16, Diwancheruvu, Rajanagaram, East Godavari, Andhra Pradesh, 533296, India"
Agriculture University,8.9811292,76.8108772,"Agriculture University, MC Road, Karikkam, Kottarakkara, Kollam, Kerala, 691500, India"
Ahmedabad University,23.03920565,72.55585035,"Ahmedabad University Office Building, Commerce College Road, Gulbai tekra, Ahmedabad, SabarmatiTaluka, Ahmedabad, Gujarat, 380009, India"
Akal University,31.81433835,75.38564209,"جامعہ احمدیہ قادیان, Civil Line Road, محلہ باب الابواب, Qadian, Batala Tahsil, Gurdaspur, Punjab, 143516, India"
Alagappa University,10.0781833,78.79902717,"Alagappa University, 4th street, Alagappapuram, Karaikudi, Karaikkudi, Sivagangai, Tamil Nadu, 623001, India"
Aliah University,22.59043525,88.48572361,"Aliah University, Street 333, New Town, Bidhannagar, North 24 Parganas, West Bengal, 700161, India"
Aligarh Muslim University,27.9151981,78.07874075,"Aligarh Muslim University, Amir Nishan Road, Aligarh, Koil, Aligarh, Uttar Pradesh, 202001, India"
Alliance University,12.72975865,77.70876034,"Alliance University, Alliance University Service Road, Karpoora, Haldenahalli., Anekal, Bengaluru Urban, Karnataka, 562106, India"
AMITY University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
AMITY University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amity University,13.27688715,77.61903823,"Amity University (u/c), Birasandra, Devanahalli taluku, Bengaluru Rural, Karnataka, 562110, India"
Amrita Vishwa Vidyapeetham,16.45606295,80.53816324,"Amrita Vishwa Vidyapeetham, N7, Kuragallu, Amaravati, Mangalagiri, Guntur, Andhra Pradesh, 522503, India"
Anand Agricultural University,22.5357762,72.9748028,"ANAND AGRICULTURAL UNIVERSITY - AAU, University Road, Anand, Anand City Taluka, Anand, Gujarat, 388110, India"
Anant National University,23.0308404,72.4271753,"Anant National University, Bopal - Sanand Bypass Road, Sanand Taluka, Ahmedabad, Gujarat, 380058, India"
Andhra Kesari University,15.485154,80.04367542,"Andhra Kesari University, Ongole Old Bypass, Baghya Nagar, Santapeta, Ongole, Prakasam, Andhra Pradesh, 523001, India"
Andhra University,17.730362,83.32276091,"Andhra University, Anakapalli - Visakhapatnam Road, Resavani Palem, Maddilapalem, Visakhapatnam, Visakhapatnam (Urban), Visakhapatnam, Andhra Pradesh, 530001, India"
Anna University,13.0083174,80.2334438,"Anna University, Sardar Patel Road, Srinagar Colony, Ward 171, Zone 13 Adyar, Chennai, Tamil Nadu, 600001, India"
Annamalai University,11.390716,79.71149277,"Annamalai University, Chemistry Dept Road, Annamalai Nagar, Chidambaram, Cuddalore, Tamil Nadu, 608002, India"
Anurag University,17.41941005,78.65676873,"Anurag University, Venkatapur Road, Swarnagiri Colony, Subprabhat Colony, Ghatkesar mandal, Medchal–Malkajgiri, Telangana, 501301, India"
Apex university,28.96838415,77.7364354,"Apex Tower, CCS University Road, Meerut, Uttar Pradesh, 250004, India"
Arunachal Pradesh University,27.1485356,93.71717141,"National Institute of Technology - NIT Arunachal Pradesh, NH713A, Naharlagun, Doimukh SDO, Papum Pare, Arunachal Pradesh, 791110, India"
Ashoka University,28.94690065,77.1014386,"Ashoka University, Inner footpath, Rai, Sonipat, Haryana, 131029, India"
